"Periodo(TX de AAAA)";"Balanza de pagos - Cuenta corriente - trimestral";"Balanza de pagos - Cuenta Financiera - trimestral";"Balanza de pagos - Ingreso Primario (Renta Factorial) - trimestral";"Balanza de pagos - Ingreso Secundario (Transferencias corrientes) - trimestral";"Balanza de pagos - Cuenta corriente - bienes y servicios - trimestral";"Archivo"
"2000/03/31";91,16;304,81;-610,04;441,02;260,17;"Balanza de pagos"
"2000/06/30";77,49;173,67;-564,12;373,44;268,17;"Balanza de pagos"
"2000/09/30";363,39;359,83;-536,98;416,27;484,1;"Balanza de pagos"
"2000/12/31";313,36;11,35;-445,31;442,44;316,23;"Balanza de pagos"
"2001/03/31";-477,54;-430,22;-653,41;464,07;-288,2;"Balanza de pagos"
"2001/06/30";-290,92;-409,26;-632,5;670,97;-329,39;"Balanza de pagos"
"2001/09/30";-22,78;-197,82;-576,82;591,13;-37,09;"Balanza de pagos"
"2001/12/31";-249,09;-191,41;-561,06;627,83;-315,85;"Balanza de pagos"
"2002/03/31";-235,6;-92,87;-698,75;579,64;-116,49;"Balanza de pagos"
"2002/06/30";-348,82;-261,28;-675,43;630,31;-303,69;"Balanza de pagos"
"2002/09/30";-305,35;-386,42;-619,83;726,64;-412,17;"Balanza de pagos"
"2002/12/31";-399,44;-425,12;-637,37;719,21;-481,28;"Balanza de pagos"
"2003/03/31";-605,42;-690,04;-865,69;730,61;-470,34;"Balanza de pagos"
"2003/06/30";-70,26;-81,48;-765,94;803,73;-108,05;"Balanza de pagos"
"2003/09/30";59,36;40,43;-813,57;890,41;-17,48;"Balanza de pagos"
"2003/12/31";-295,68;-109,48;-742,58;883,75;-436,85;"Balanza de pagos"
"2004/03/31";-591,15;-445,58;-1119,21;811,66;-283,59;"Balanza de pagos"
"2004/06/30";-210,22;-1,67;-925,65;889,6;-174,17;"Balanza de pagos"
"2004/09/30";119,29;77,51;-997,85;940,85;176,3;"Balanza de pagos"
"2004/12/31";-92,48;-345,39;-972,97;1082,16;-201,67;"Balanza de pagos"
"2005/03/31";-551,51;-335,13;-1305,4;891,94;-138,05;"Balanza de pagos"
"2005/06/30";-285,27;-198,92;-1318,26;1044,31;-11,32;"Balanza de pagos"
"2005/09/30";-877,34;-693,97;-1498,87;1033,9;-412,36;"Balanza de pagos"
"2005/12/31";-233,64;-279,24;-1216,51;1111,75;-128,88;"Balanza de pagos"
"2006/03/31";-669,35;-643,77;-1518,27;1050,43;-201,51;"Balanza de pagos"
"2006/06/30";-707,39;-614,64;-1478,7;1208,1;-436,79;"Balanza de pagos"
"2006/09/30";-775,02;-528,78;-1325,19;1203,28;-653,11;"Balanza de pagos"
"2006/12/31";-839,28;-1076,43;-1431,53;1252,38;-660,13;"Balanza de pagos"
"2007/03/31";-2091,34;-1819,06;-1919,13;1183,4;-1355,61;"Balanza de pagos"
"2007/06/30";-1453,64;-1310,7;-1867,63;1127,82;-713,83;"Balanza de pagos"
"2007/09/30";-1462,86;-1555,27;-1836,08;1321,68;-948,46;"Balanza de pagos"
"2007/12/31";-1141,8;-969,55;-2238,22;1519,99;-423,57;"Balanza de pagos"
"2008/03/31";-1312,29;-1555,95;-2427,74;1292,62;-177,17;"Balanza de pagos"
"2008/06/30";-1157,35;-1269,52;-2814,85;1360,84;296,66;"Balanza de pagos"
"2008/09/30";-1661,08;-1525,71;-2477,73;1465,99;-649,34;"Balanza de pagos"
"2008/12/31";-2366,56;-2570,57;-1929,18;1335,17;-1772,55;"Balanza de pagos"
"2009/03/31";-932,18;-750,29;-1782,63;1200,65;-350,19;"Balanza de pagos"
"2009/06/30";-760,92;-1176,97;-1974,08;1084,78;128,38;"Balanza de pagos"
"2009/09/30";-1296,27;-1545,38;-2064,25;1061,8;-293,82;"Balanza de pagos"
"2009/12/31";-1443,64;-1505,37;-2364,55;1211,01;-290,1;"Balanza de pagos"
"2010/03/31";-1260,82;-1019,32;-2494,84;976,05;257,97;"Balanza de pagos"
"2010/06/30";-1405,76;-1425,68;-2790,67;1159,94;224,97;"Balanza de pagos"
"2010/09/30";-3210,35;-3587,75;-2856,23;1170,98;-1525,1;"Balanza de pagos"
"2010/12/31";-2706,09;-3299,06;-2854,55;1352,46;-1203,99;"Balanza de pagos"
"2011/03/31";-2002,97;-1411,14;-3162,33;1152,77;6,59;"Balanza de pagos"
"2011/06/30";-1726,11;-1575,63;-3512,98;1167,32;619,55;"Balanza de pagos"
"2011/09/30";-3030,85;-2552,03;-4070,56;1390,52;-350,8;"Balanza de pagos"
"2011/12/31";-2974,58;-3168,52;-4567,27;1340,45;252,24;"Balanza de pagos"
"2012/03/31";-1838,26;-1549,32;-3897,03;1153,7;905,07;"Balanza de pagos"
"2012/06/30";-3235,46;-3193,24;-3658,11;1242,9;-820,25;"Balanza de pagos"
"2012/09/30";-3596,24;-3520,57;-3418,06;1163,08;-1341,26;"Balanza de pagos"
"2012/12/31";-2970,04;-3289,75;-4034,47;1272,99;-208,56;"Balanza de pagos"
"2013/03/31";-3439,16;-3094,65;-3663,82;1052,35;-827,69;"Balanza de pagos"
"2013/06/30";-2205,94;-1892,88;-3394,47;1270,41;-81,88;"Balanza de pagos"
"2013/09/30";-3596,22;-3429,59;-3428,68;1296,95;-1464,49;"Balanza de pagos"
"2013/12/31";-3123,81;-3322,49;-3514,54;1267,18;-876,44;"Balanza de pagos"
"2014/03/31";-4124,71;-4158,15;-3209,12;1049,61;-1965,2;"Balanza de pagos"
"2014/06/30";-4189,28;-3944,2;-3167,29;1040,73;-2062,73;"Balanza de pagos"
"2014/09/30";-5033,41;-4996,06;-3469,03;1164,32;-2728,69;"Balanza de pagos"
"2014/12/31";-6471,14;-6193,64;-2262,47;1366,99;-5575,66;"Balanza de pagos"
"2015/03/31";-5291,93;-5131,93;-1720,92;1298,03;-4869,05;"Balanza de pagos"
"2015/06/30";-4426,37;-4339,89;-1913,74;1272,45;-3785,09;"Balanza de pagos"
"2015/09/30";-5055,77;-4880,42;-1292,82;1628,8;-5391,75;"Balanza de pagos"
"2015/12/31";-3928,15;-3707,49;-522,08;1552,42;-4958,49;"Balanza de pagos"
"2016/03/31";-3524,79;-3619,9;-1034,01;1480,09;-3970,87;"Balanza de pagos"
"2016/06/30";-2794,42;-3243,64;-1347,58;1488,39;-2935,22;"Balanza de pagos"
"2016/09/30";-3601,14;-3525,42;-1525,11;1483,96;-3559,99;"Balanza de pagos"
"2016/12/31";-2666,21;-1950,42;-1405,49;1724,33;-2985,05;"Balanza de pagos"
"2017/03/31";-3489,52;-2986,42;-2286,45;1526,6;-2729,66;"Balanza de pagos"
"2017/06/30";-2425,56;-2624,6;-1558;1683,84;-2551,39;"Balanza de pagos"
