"Periodo(MMM, AAAA)";"Saldo de la deuda externa total, porcentaje del PIB";"Saldo de la deuda externa total";"Saldo de la deuda externa del sector público";"Saldo de la deuda externa del sector privado";"Archivo"
"2001/01/31";37,35;36431,04;20906,88;15524,16;"Deuda externa (pública y privada)"
"2001/02/28";37,38;36467,44;21016,84;15450,6;"Deuda externa (pública y privada)"
"2001/03/31";37,35;36436,46;20979,09;15457,36;"Deuda externa (pública y privada)"
"2001/04/30";38,11;37180,45;21663,62;15516,83;"Deuda externa (pública y privada)"
"2001/05/31";38,7;37753,48;22207,56;15545,92;"Deuda externa (pública y privada)"
"2001/06/30";38,85;37559,38;22251,81;15307,58;"Deuda externa (pública y privada)"
"2001/07/31";38,8;37514,7;22155,33;15359,37;"Deuda externa (pública y privada)"
"2001/08/31";39,15;37844,48;22603,49;15241;"Deuda externa (pública y privada)"
"2001/09/30";39,36;38220,44;22683,33;15537,11;"Deuda externa (pública y privada)"
"2001/10/31";39,19;38056,02;22543,65;15512,37;"Deuda externa (pública y privada)"
"2001/11/30";39,66;38503,98;22845,23;15658,76;"Deuda externa (pública y privada)"
"2001/12/31";40,28;39163,47;23534,56;15628,91;"Deuda externa (pública y privada)"
"2002/01/31";40,1;38988,24;23243,65;15744,59;"Deuda externa (pública y privada)"
"2002/02/28";39,84;38731,78;23173,35;15558,42;"Deuda externa (pública y privada)"
"2002/03/31";38,94;38208,16;22837,36;15370,8;"Deuda externa (pública y privada)"
"2002/04/30";39,01;38275,05;22920,7;15354,35;"Deuda externa (pública y privada)"
"2002/05/31";38,42;37701,57;22517,77;15183,8;"Deuda externa (pública y privada)"
"2002/06/30";37,5;37613,86;22384,28;15229,58;"Deuda externa (pública y privada)"
"2002/07/31";37,86;37974,42;22686,55;15287,87;"Deuda externa (pública y privada)"
"2002/08/31";37,89;38012,74;22694,19;15318,55;"Deuda externa (pública y privada)"
"2002/09/30";38,18;37974,55;22821,25;15153,3;"Deuda externa (pública y privada)"
"2002/10/31";37,76;37547,64;22556,24;14991,41;"Deuda externa (pública y privada)"
"2002/11/30";37,72;37514,7;22660,28;14854,42;"Deuda externa (pública y privada)"
"2002/12/31";38,4;37381,76;22838,44;14543,32;"Deuda externa (pública y privada)"
"2003/01/31";39,3;38265,58;23666,07;14599,51;"Deuda externa (pública y privada)"
"2003/02/28";39,39;38345,75;23516,98;14828,77;"Deuda externa (pública y privada)"
"2003/03/31";40,2;37961,77;23297,66;14664,11;"Deuda externa (pública y privada)"
"2003/04/30";41,26;38968,38;24254,26;14714,13;"Deuda externa (pública y privada)"
"2003/05/31";41,08;38800,54;24214,56;14585,98;"Deuda externa (pública y privada)"
"2003/06/30";41,54;37990,88;23360,11;14630,78;"Deuda externa (pública y privada)"
"2003/07/31";41,07;37567,69;23176,05;14391,64;"Deuda externa (pública y privada)"
"2003/08/31";41,01;37513,02;23442,52;14070,5;"Deuda externa (pública y privada)"
"2003/09/30";41,15;37771,16;23904,53;13866,62;"Deuda externa (pública y privada)"
"2003/10/31";41,45;38044,86;24015,05;14029,81;"Deuda externa (pública y privada)"
"2003/11/30";41,37;37970,54;24259,09;13711,44;"Deuda externa (pública y privada)"
"2003/12/31";40,62;38064,65;24584,19;13480,46;"Deuda externa (pública y privada)"
"2004/01/31";41,1;38518,19;24850,83;13667,36;"Deuda externa (pública y privada)"
"2004/02/29";40,77;38204,82;24700,52;13504,29;"Deuda externa (pública y privada)"
"2004/03/31";38,33;37754,38;24239,19;13515,19;"Deuda externa (pública y privada)"
"2004/04/30";38,16;37582,97;24135,27;13447,7;"Deuda externa (pública y privada)"
"2004/05/31";38,06;37487,08;24165,87;13321,21;"Deuda externa (pública y privada)"
"2004/06/30";36,52;37634,93;24344,38;13290,55;"Deuda externa (pública y privada)"
"2004/07/31";36,33;37438,23;24176,64;13261,59;"Deuda externa (pública y privada)"
"2004/08/31";36,63;37748,15;24425,87;13322,28;"Deuda externa (pública y privada)"
"2004/09/30";35,27;38351,6;24848,77;13502,82;"Deuda externa (pública y privada)"
"2004/10/31";35,27;38357,45;24872,14;13485,31;"Deuda externa (pública y privada)"
"2004/11/30";35,9;39041,53;25558,43;13483,1;"Deuda externa (pública y privada)"
"2004/12/31";34;39497,47;25835,03;13662,44;"Deuda externa (pública y privada)"
"2005/01/31";33,87;39340,22;25693,48;13646,74;"Deuda externa (pública y privada)"
"2005/02/28";34,1;39606,72;25918,38;13688,34;"Deuda externa (pública y privada)"
"2005/03/31";31,81;39138,53;25598,87;13539,67;"Deuda externa (pública y privada)"
"2005/04/30";30,66;37721,95;24191,34;13530,62;"Deuda externa (pública y privada)"
"2005/05/31";30,63;37677,59;24176;13501,59;"Deuda externa (pública y privada)"
"2005/06/30";28,47;37061,42;23459,51;13601,91;"Deuda externa (pública y privada)"
"2005/07/31";29,02;37786,5;24051,03;13735,46;"Deuda externa (pública y privada)"
"2005/08/31";29,15;37943,58;24245,75;13697,83;"Deuda externa (pública y privada)"
"2005/09/30";27,09;37440,12;23502,34;13937,79;"Deuda externa (pública y privada)"
"2005/10/31";26,93;37211,7;23224,63;13987,08;"Deuda externa (pública y privada)"
"2005/11/30";27,21;37605,48;23170,98;14434,51;"Deuda externa (pública y privada)"
"2005/12/31";26,43;38506,51;24189,34;14317,17;"Deuda externa (pública y privada)"
"2006/01/31";26,55;38680,09;24216,32;14463,76;"Deuda externa (pública y privada)"
"2006/02/28";26,54;38678,98;24223,93;14455,05;"Deuda externa (pública y privada)"
"2006/03/31";24,93;37590,53;23389,28;14201,24;"Deuda externa (pública y privada)"
"2006/04/30";24,84;37442,65;23404,24;14038,41;"Deuda externa (pública y privada)"
"2006/05/31";24,92;37562,69;23393,55;14169,14;"Deuda externa (pública y privada)"
"2006/06/30";24,11;36906,67;22550,14;14356,53;"Deuda externa (pública y privada)"
"2006/07/31";24,91;38132,14;24120,43;14011,71;"Deuda externa (pública y privada)"
"2006/08/31";24,99;38266,61;24485,03;13781,58;"Deuda externa (pública y privada)"
"2006/09/30";24,94;39043,37;25189,35;13854,02;"Deuda externa (pública y privada)"
"2006/10/31";24,92;39000,18;25409,79;13590,38;"Deuda externa (pública y privada)"
"2006/11/30";25,41;39773,15;26071,38;13701,77;"Deuda externa (pública y privada)"
"2006/12/31";24,77;40102,72;26299,24;13803,49;"Deuda externa (pública y privada)"
"2007/01/31";25,68;41582,59;27226,07;14356,51;"Deuda externa (pública y privada)"
"2007/02/28";25,98;42073,13;27221,36;14851,77;"Deuda externa (pública y privada)"
"2007/03/31";25,04;42216,64;27273,27;14943,37;"Deuda externa (pública y privada)"
"2007/04/30";25,55;43082,76;27474,58;15608,18;"Deuda externa (pública y privada)"
"2007/05/31";25,53;43041,34;27583,35;15457,99;"Deuda externa (pública y privada)"
"2007/06/30";23,76;43119,02;27838,18;15280,84;"Deuda externa (pública y privada)"
"2007/07/31";23,8;43188,33;28105,4;15082,93;"Deuda externa (pública y privada)"
"2007/08/31";23,79;43180,01;27822,5;15357,51;"Deuda externa (pública y privada)"
"2007/09/30";22,3;43389,1;28138,3;15250,8;"Deuda externa (pública y privada)"
"2007/10/31";22,49;43755,54;28314,01;15441,53;"Deuda externa (pública y privada)"
"2007/11/30";22,55;43866,35;28305,41;15560,93;"Deuda externa (pública y privada)"
"2007/12/31";21,54;44553,06;28818,82;15734,24;"Deuda externa (pública y privada)"
"2008/01/31";21,7;44884,39;29182,37;15702,02;"Deuda externa (pública y privada)"
"2008/02/29";21,71;44905,53;29191,14;15714,39;"Deuda externa (pública y privada)"
"2008/03/31";20,52;45178,19;29352,92;15825,26;"Deuda externa (pública y privada)"
"2008/04/30";20,62;45409,12;29536,51;15872,61;"Deuda externa (pública y privada)"
"2008/05/31";20,74;45666,75;29597,02;16069,73;"Deuda externa (pública y privada)"
"2008/06/30";19,34;45380,77;29269,16;16111,6;"Deuda externa (pública y privada)"
"2008/07/31";19,55;45884,8;29439,26;16445,54;"Deuda externa (pública y privada)"
"2008/08/31";19,49;45728,77;29000,19;16728,58;"Deuda externa (pública y privada)"
"2008/09/30";18,5;45511,51;28630,09;16881,42;"Deuda externa (pública y privada)"
"2008/10/31";18,62;45808,69;28835,9;16972,79;"Deuda externa (pública y privada)"
"2008/11/30";18,69;45988,19;28932,82;17055,37;"Deuda externa (pública y privada)"
"2008/12/31";19,05;46439,86;29514,45;16925,41;"Deuda externa (pública y privada)"
"2009/01/31";19,29;47028,56;30286,02;16742,54;"Deuda externa (pública y privada)"
"2009/02/28";19,04;46425,68;30009,43;16416,25;"Deuda externa (pública y privada)"
"2009/03/31";19,98;46747,9;30558,71;16189,19;"Deuda externa (pública y privada)"
"2009/04/30";20,06;46925,22;31025,24;15899,99;"Deuda externa (pública y privada)"
"2009/05/31";20,02;46842,02;31188,92;15653,1;"Deuda externa (pública y privada)"
"2009/06/30";20,73;46339,31;31129,47;15209,84;"Deuda externa (pública y privada)"
"2009/07/31";21,73;48587,37;33424,74;15162,62;"Deuda externa (pública y privada)"
"2009/08/31";22,37;50010,55;34812,79;15197,76;"Deuda externa (pública y privada)"
"2009/09/30";23,13;51378,11;35245,33;16132,78;"Deuda externa (pública y privada)"
"2009/10/31";23,81;52870,57;36397,84;16472,74;"Deuda externa (pública y privada)"
