"Periodo(MMM, AAAA)";"Índice de Precios al Consumidor (IPC)";"Archivo"
"1998/01/31";31,77;"IPC_Índice de Precios al Consumidor"
"1998/02/28";32,81;"IPC_Índice de Precios al Consumidor"
"1998/03/31";33,67;"IPC_Índice de Precios al Consumidor"
"1998/04/30";34,65;"IPC_Índice de Precios al Consumidor"
"1998/05/31";35,19;"IPC_Índice de Precios al Consumidor"
"1998/06/30";35,62;"IPC_Índice de Precios al Consumidor"
"1998/07/31";35,79;"IPC_Índice de Precios al Consumidor"
"1998/08/31";35,8;"IPC_Índice de Precios al Consumidor"
"1998/09/30";35,9;"IPC_Índice de Precios al Consumidor"
"1998/10/31";36,03;"IPC_Índice de Precios al Consumidor"
"1998/11/30";36,1;"IPC_Índice de Precios al Consumidor"
"1998/12/31";36,42;"IPC_Índice de Precios al Consumidor"
"1999/01/31";37,23;"IPC_Índice de Precios al Consumidor"
"1999/02/28";37,86;"IPC_Índice de Precios al Consumidor"
"1999/03/31";38,22;"IPC_Índice de Precios al Consumidor"
"1999/04/30";38,52;"IPC_Índice de Precios al Consumidor"
"1999/05/31";38,7;"IPC_Índice de Precios al Consumidor"
"1999/06/30";38,81;"IPC_Índice de Precios al Consumidor"
"1999/07/31";38,93;"IPC_Índice de Precios al Consumidor"
"1999/08/31";39,12;"IPC_Índice de Precios al Consumidor"
"1999/09/30";39,25;"IPC_Índice de Precios al Consumidor"
"1999/10/31";39,39;"IPC_Índice de Precios al Consumidor"
"1999/11/30";39,58;"IPC_Índice de Precios al Consumidor"
"1999/12/31";39,79;"IPC_Índice de Precios al Consumidor"
"2000/01/31";40,3;"IPC_Índice de Precios al Consumidor"
"2000/02/29";41,23;"IPC_Índice de Precios al Consumidor"
"2000/03/31";41,93;"IPC_Índice de Precios al Consumidor"
"2000/04/30";42,35;"IPC_Índice de Precios al Consumidor"
"2000/05/31";42,57;"IPC_Índice de Precios al Consumidor"
"2000/06/30";42,56;"IPC_Índice de Precios al Consumidor"
"2000/07/31";42,55;"IPC_Índice de Precios al Consumidor"
"2000/08/31";42,68;"IPC_Índice de Precios al Consumidor"
"2000/09/30";42,86;"IPC_Índice de Precios al Consumidor"
"2000/10/31";42,93;"IPC_Índice de Precios al Consumidor"
"2000/11/30";43,07;"IPC_Índice de Precios al Consumidor"
"2000/12/31";43,27;"IPC_Índice de Precios al Consumidor"
"2001/01/31";43,72;"IPC_Índice de Precios al Consumidor"
"2001/02/28";44,55;"IPC_Índice de Precios al Consumidor"
"2001/03/31";45,21;"IPC_Índice de Precios al Consumidor"
"2001/04/30";45,73;"IPC_Índice de Precios al Consumidor"
"2001/05/31";45,92;"IPC_Índice de Precios al Consumidor"
"2001/06/30";45,94;"IPC_Índice de Precios al Consumidor"
"2001/07/31";45,99;"IPC_Índice de Precios al Consumidor"
"2001/08/31";46,11;"IPC_Índice de Precios al Consumidor"
"2001/09/30";46,28;"IPC_Índice de Precios al Consumidor"
"2001/10/31";46,37;"IPC_Índice de Precios al Consumidor"
"2001/11/30";46,42;"IPC_Índice de Precios al Consumidor"
"2001/12/31";46,58;"IPC_Índice de Precios al Consumidor"
"2002/01/31";46,95;"IPC_Índice de Precios al Consumidor"
"2002/02/28";47,54;"IPC_Índice de Precios al Consumidor"
"2002/03/31";47,87;"IPC_Índice de Precios al Consumidor"
"2002/04/30";48,31;"IPC_Índice de Precios al Consumidor"
"2002/05/31";48,6;"IPC_Índice de Precios al Consumidor"
"2002/06/30";48,81;"IPC_Índice de Precios al Consumidor"
"2002/07/31";48,82;"IPC_Índice de Precios al Consumidor"
"2002/08/31";48,87;"IPC_Índice de Precios al Consumidor"
"2002/09/30";49,04;"IPC_Índice de Precios al Consumidor"
"2002/10/31";49,32;"IPC_Índice de Precios al Consumidor"
"2002/11/30";49,7;"IPC_Índice de Precios al Consumidor"
"2002/12/31";49,83;"IPC_Índice de Precios al Consumidor"
"2003/01/31";50,42;"IPC_Índice de Precios al Consumidor"
"2003/02/28";50,98;"IPC_Índice de Precios al Consumidor"
"2003/03/31";51,51;"IPC_Índice de Precios al Consumidor"
"2003/04/30";52,1;"IPC_Índice de Precios al Consumidor"
"2003/05/31";52,36;"IPC_Índice de Precios al Consumidor"
"2003/06/30";52,33;"IPC_Índice de Precios al Consumidor"
"2003/07/31";52,26;"IPC_Índice de Precios al Consumidor"
"2003/08/31";52,42;"IPC_Índice de Precios al Consumidor"
"2003/09/30";52,53;"IPC_Índice de Precios al Consumidor"
"2003/10/31";52,56;"IPC_Índice de Precios al Consumidor"
"2003/11/30";52,75;"IPC_Índice de Precios al Consumidor"
"2003/12/31";53,07;"IPC_Índice de Precios al Consumidor"
"2004/01/31";53,54;"IPC_Índice de Precios al Consumidor"
"2004/02/29";54,18;"IPC_Índice de Precios al Consumidor"
"2004/03/31";54,71;"IPC_Índice de Precios al Consumidor"
"2004/04/30";54,96;"IPC_Índice de Precios al Consumidor"
"2004/05/31";55,17;"IPC_Índice de Precios al Consumidor"
"2004/06/30";55,51;"IPC_Índice de Precios al Consumidor"
"2004/07/31";55,49;"IPC_Índice de Precios al Consumidor"
"2004/08/31";55,51;"IPC_Índice de Precios al Consumidor"
"2004/09/30";55,67;"IPC_Índice de Precios al Consumidor"
"2004/10/31";55,66;"IPC_Índice de Precios al Consumidor"
"2004/11/30";55,82;"IPC_Índice de Precios al Consumidor"
"2004/12/31";55,99;"IPC_Índice de Precios al Consumidor"
"2005/01/31";56,45;"IPC_Índice de Precios al Consumidor"
"2005/02/28";57,02;"IPC_Índice de Precios al Consumidor"
"2005/03/31";57,46;"IPC_Índice de Precios al Consumidor"
"2005/04/30";57,72;"IPC_Índice de Precios al Consumidor"
"2005/05/31";57,95;"IPC_Índice de Precios al Consumidor"
"2005/06/30";58,18;"IPC_Índice de Precios al Consumidor"
"2005/07/31";58,21;"IPC_Índice de Precios al Consumidor"
"2005/08/31";58,21;"IPC_Índice de Precios al Consumidor"
"2005/09/30";58,46;"IPC_Índice de Precios al Consumidor"
"2005/10/31";58,6;"IPC_Índice de Precios al Consumidor"
"2005/11/30";58,66;"IPC_Índice de Precios al Consumidor"
"2005/12/31";58,7;"IPC_Índice de Precios al Consumidor"
"2006/01/31";59,02;"IPC_Índice de Precios al Consumidor"
"2006/02/28";59,41;"IPC_Índice de Precios al Consumidor"
"2006/03/31";59,83;"IPC_Índice de Precios al Consumidor"
"2006/04/30";60,09;"IPC_Índice de Precios al Consumidor"
"2006/05/31";60,29;"IPC_Índice de Precios al Consumidor"
"2006/06/30";60,48;"IPC_Índice de Precios al Consumidor"
"2006/07/31";60,73;"IPC_Índice de Precios al Consumidor"
"2006/08/31";60,96;"IPC_Índice de Precios al Consumidor"
"2006/09/30";61,14;"IPC_Índice de Precios al Consumidor"
"2006/10/31";61,05;"IPC_Índice de Precios al Consumidor"
"2006/11/30";61,19;"IPC_Índice de Precios al Consumidor"
"2006/12/31";61,33;"IPC_Índice de Precios al Consumidor"
"2007/01/31";61,8;"IPC_Índice de Precios al Consumidor"
"2007/02/28";62,53;"IPC_Índice de Precios al Consumidor"
"2007/03/31";63,29;"IPC_Índice de Precios al Consumidor"
"2007/04/30";63,85;"IPC_Índice de Precios al Consumidor"
"2007/05/31";64,05;"IPC_Índice de Precios al Consumidor"
"2007/06/30";64,12;"IPC_Índice de Precios al Consumidor"
"2007/07/31";64,23;"IPC_Índice de Precios al Consumidor"
"2007/08/31";64,14;"IPC_Índice de Precios al Consumidor"
"2007/09/30";64,2;"IPC_Índice de Precios al Consumidor"
"2007/10/31";64,2;"IPC_Índice de Precios al Consumidor"
"2007/11/30";64,51;"IPC_Índice de Precios al Consumidor"
"2007/12/31";64,82;"IPC_Índice de Precios al Consumidor"
"2008/01/31";65,51;"IPC_Índice de Precios al Consumidor"
"2008/02/29";66,5;"IPC_Índice de Precios al Consumidor"
"2008/03/31";67,04;"IPC_Índice de Precios al Consumidor"
"2008/04/30";67,51;"IPC_Índice de Precios al Consumidor"
"2008/05/31";68,14;"IPC_Índice de Precios al Consumidor"
"2008/06/30";68,73;"IPC_Índice de Precios al Consumidor"
"2008/07/31";69,06;"IPC_Índice de Precios al Consumidor"
"2008/08/31";69,19;"IPC_Índice de Precios al Consumidor"
"2008/09/30";69,06;"IPC_Índice de Precios al Consumidor"
"2008/10/31";69,3;"IPC_Índice de Precios al Consumidor"
"2008/11/30";69,49;"IPC_Índice de Precios al Consumidor"
"2008/12/31";69,8;"IPC_Índice de Precios al Consumidor"
"2009/01/31";70,21;"IPC_Índice de Precios al Consumidor"
"2009/02/28";70,8;"IPC_Índice de Precios al Consumidor"
"2009/03/31";71,15;"IPC_Índice de Precios al Consumidor"
"2009/04/30";71,38;"IPC_Índice de Precios al Consumidor"
"2009/05/31";71,39;"IPC_Índice de Precios al Consumidor"
"2009/06/30";71,35;"IPC_Índice de Precios al Consumidor"
"2009/07/31";71,32;"IPC_Índice de Precios al Consumidor"
"2009/08/31";71,35;"IPC_Índice de Precios al Consumidor"
"2009/09/30";71,28;"IPC_Índice de Precios al Consumidor"
"2009/10/31";71,19;"IPC_Índice de Precios al Consumidor"
"2009/11/30";71,14;"IPC_Índice de Precios al Consumidor"
"2009/12/31";71,2;"IPC_Índice de Precios al Consumidor"
"2010/01/31";71,69;"IPC_Índice de Precios al Consumidor"
"2010/02/28";72,28;"IPC_Índice de Precios al Consumidor"
"2010/03/31";72,46;"IPC_Índice de Precios al Consumidor"
"2010/04/30";72,79;"IPC_Índice de Precios al Consumidor"
"2010/05/31";72,87;"IPC_Índice de Precios al Consumidor"
"2010/06/30";72,95;"IPC_Índice de Precios al Consumidor"
"2010/07/31";72,92;"IPC_Índice de Precios al Consumidor"
"2010/08/31";73;"IPC_Índice de Precios al Consumidor"
"2010/09/30";72,9;"IPC_Índice de Precios al Consumidor"
"2010/10/31";72,84;"IPC_Índice de Precios al Consumidor"
"2010/11/30";72,98;"IPC_Índice de Precios al Consumidor"
"2010/12/31";73,45;"IPC_Índice de Precios al Consumidor"
"2011/01/31";74,12;"IPC_Índice de Precios al Consumidor"
"2011/02/28";74,57;"IPC_Índice de Precios al Consumidor"
"2011/03/31";74,77;"IPC_Índice de Precios al Consumidor"
"2011/04/30";74,86;"IPC_Índice de Precios al Consumidor"
"2011/05/31";75,07;"IPC_Índice de Precios al Consumidor"
"2011/06/30";75,31;"IPC_Índice de Precios al Consumidor"
"2011/07/31";75,42;"IPC_Índice de Precios al Consumidor"
"2011/08/31";75,39;"IPC_Índice de Precios al Consumidor"
"2011/09/30";75,62;"IPC_Índice de Precios al Consumidor"
"2011/10/31";75,77;"IPC_Índice de Precios al Consumidor"
