"Periodo(MMM, AAAA)";"Índice de Precios del Productor (IPP)";"Archivo"
"1999/06/30";43,87;"IPP_Índice de Precios del Productor"
"1999/07/31";44,59;"IPP_Índice de Precios del Productor"
"1999/08/31";45,24;"IPP_Índice de Precios del Productor"
"1999/09/30";45,71;"IPP_Índice de Precios del Productor"
"1999/10/31";46,27;"IPP_Índice de Precios del Productor"
"1999/11/30";46,89;"IPP_Índice de Precios del Productor"
"1999/12/31";47,41;"IPP_Índice de Precios del Productor"
"2000/01/31";48,07;"IPP_Índice de Precios del Productor"
"2000/02/29";49,19;"IPP_Índice de Precios del Productor"
"2000/03/31";49,87;"IPP_Índice de Precios del Productor"
"2000/04/30";50,36;"IPP_Índice de Precios del Productor"
"2000/05/31";50,83;"IPP_Índice de Precios del Productor"
"2000/06/30";51,1;"IPP_Índice de Precios del Productor"
"2000/07/31";51,5;"IPP_Índice de Precios del Productor"
"2000/08/31";51,68;"IPP_Índice de Precios del Productor"
"2000/09/30";52,27;"IPP_Índice de Precios del Productor"
"2000/10/31";52,05;"IPP_Índice de Precios del Productor"
"2000/11/30";52,01;"IPP_Índice de Precios del Productor"
"2000/12/31";52,09;"IPP_Índice de Precios del Productor"
"2001/01/31";53,01;"IPP_Índice de Precios del Productor"
"2001/02/28";53,99;"IPP_Índice de Precios del Productor"
"2001/03/31";54,43;"IPP_Índice de Precios del Productor"
"2001/04/30";55,37;"IPP_Índice de Precios del Productor"
"2001/05/31";55,97;"IPP_Índice de Precios del Productor"
"2001/06/30";55,57;"IPP_Índice de Precios del Productor"
"2001/07/31";55,37;"IPP_Índice de Precios del Productor"
"2001/08/31";55,37;"IPP_Índice de Precios del Productor"
"2001/09/30";55,48;"IPP_Índice de Precios del Productor"
"2001/10/31";54,91;"IPP_Índice de Precios del Productor"
"2001/11/30";54,67;"IPP_Índice de Precios del Productor"
"2001/12/31";54,78;"IPP_Índice de Precios del Productor"
"2002/01/31";55,1;"IPP_Índice de Precios del Productor"
