"Periodo(MMM, AAAA)";"Meta de inflación";"Inflación total";"Archivo"
"1998/01/31";16;17,84;"Inflación y meta"
"1998/02/28";16;18,03;"Inflación y meta"
"1998/03/31";16;19,24;"Inflación y meta"
"1998/04/30";16;20,74;"Inflación y meta"
"1998/05/31";16;20,67;"Inflación y meta"
"1998/06/30";16;20,69;"Inflación y meta"
"1998/07/31";16;20,27;"Inflación y meta"
"1998/08/31";16;18,94;"Inflación y meta"
"1998/09/30";16;17,8;"Inflación y meta"
"1998/10/31";16;17,09;"Inflación y meta"
"1998/11/30";16;16,35;"Inflación y meta"
"1998/12/31";16;16,7;"Inflación y meta"
"1999/01/31";15;17,18;"Inflación y meta"
"1999/02/28";15;15,38;"Inflación y meta"
"1999/03/31";15;13,51;"Inflación y meta"
"1999/04/30";15;11,17;"Inflación y meta"
"1999/05/31";15;9,98;"Inflación y meta"
"1999/06/30";15;8,96;"Inflación y meta"
"1999/07/31";15;8,78;"Inflación y meta"
"1999/08/31";15;9,28;"Inflación y meta"
"1999/09/30";15;9,33;"Inflación y meta"
"1999/10/31";15;9,32;"Inflación y meta"
"1999/11/30";15;9,65;"Inflación y meta"
"1999/12/31";15;9,23;"Inflación y meta"
"2000/01/31";10;8,25;"Inflación y meta"
"2000/02/29";10;8,89;"Inflación y meta"
"2000/03/31";10;9,73;"Inflación y meta"
"2000/04/30";10;9,96;"Inflación y meta"
"2000/05/31";10;10;"Inflación y meta"
"2000/06/30";10;9,68;"Inflación y meta"
"2000/07/31";10;9,29;"Inflación y meta"
"2000/08/31";10;9,1;"Inflación y meta"
"2000/09/30";10;9,2;"Inflación y meta"
"2000/10/31";10;8,99;"Inflación y meta"
"2000/11/30";10;8,82;"Inflación y meta"
"2000/12/31";10;8,75;"Inflación y meta"
"2001/01/31";8;8,49;"Inflación y meta"
"2001/02/28";8;8,06;"Inflación y meta"
"2001/03/31";8;7,81;"Inflación y meta"
"2001/04/30";8;7,98;"Inflación y meta"
"2001/05/31";8;7,87;"Inflación y meta"
"2001/06/30";8;7,93;"Inflación y meta"
"2001/07/31";8;8,09;"Inflación y meta"
"2001/08/31";8;8,03;"Inflación y meta"
"2001/09/30";8;7,97;"Inflación y meta"
"2001/10/31";8;8,01;"Inflación y meta"
"2001/11/30";8;7,78;"Inflación y meta"
"2001/12/31";8;7,65;"Inflación y meta"
"2002/01/31";6;7,37;"Inflación y meta"
"2002/02/28";6;6,7;"Inflación y meta"
"2002/03/31";6;5,89;"Inflación y meta"
"2002/04/30";6;5,65;"Inflación y meta"
"2002/05/31";6;5,84;"Inflación y meta"
"2002/06/30";6;6,25;"Inflación y meta"
"2002/07/31";6;6,16;"Inflación y meta"
"2002/08/31";6;5,98;"Inflación y meta"
"2002/09/30";6;5,97;"Inflación y meta"
"2002/10/31";6;6,37;"Inflación y meta"
"2002/11/30";6;7,07;"Inflación y meta"
"2002/12/31";6;6,99;"Inflación y meta"
"2003/01/31";5,5;7,39;"Inflación y meta"
"2003/02/28";5,5;7,24;"Inflación y meta"
"2003/03/31";5,5;7,6;"Inflación y meta"
"2003/04/30";5,5;7,85;"Inflación y meta"
"2003/05/31";5,5;7,73;"Inflación y meta"
"2003/06/30";5,5;7,21;"Inflación y meta"
"2003/07/31";5,5;7,04;"Inflación y meta"
"2003/08/31";5,5;7,26;"Inflación y meta"
"2003/09/30";5,5;7,11;"Inflación y meta"
"2003/10/31";5,5;6,58;"Inflación y meta"
"2003/11/30";5,5;6,13;"Inflación y meta"
"2003/12/31";5,5;6,49;"Inflación y meta"
"2004/01/31";5,5;6,19;"Inflación y meta"
"2004/02/29";5,5;6,28;"Inflación y meta"
"2004/03/31";5,5;6,21;"Inflación y meta"
"2004/04/30";5,5;5,49;"Inflación y meta"
"2004/05/31";5,5;5,37;"Inflación y meta"
"2004/06/30";5,5;6,07;"Inflación y meta"
"2004/07/31";5,5;6,19;"Inflación y meta"
"2004/08/31";5,5;5,89;"Inflación y meta"
"2004/09/30";5,5;5,97;"Inflación y meta"
"2004/10/31";5,5;5,9;"Inflación y meta"
"2004/11/30";5,5;5,82;"Inflación y meta"
"2004/12/31";5,5;5,5;"Inflación y meta"
"2005/01/31";5;5,43;"Inflación y meta"
"2005/02/28";5;5,25;"Inflación y meta"
"2005/03/31";5;5,03;"Inflación y meta"
"2005/04/30";5;5,01;"Inflación y meta"
"2005/05/31";5;5,04;"Inflación y meta"
"2005/06/30";5;4,83;"Inflación y meta"
"2005/07/31";5;4,91;"Inflación y meta"
"2005/08/31";5;4,88;"Inflación y meta"
"2005/09/30";5;5,02;"Inflación y meta"
"2005/10/31";5;5,27;"Inflación y meta"
"2005/11/30";5;5,1;"Inflación y meta"
"2005/12/31";5;4,85;"Inflación y meta"
"2006/01/31";4,5;4,56;"Inflación y meta"
"2006/02/28";4,5;4,19;"Inflación y meta"
"2006/03/31";4,5;4,11;"Inflación y meta"
"2006/04/30";4,5;4,12;"Inflación y meta"
"2006/05/31";4,5;4,04;"Inflación y meta"
"2006/06/30";4,5;3,94;"Inflación y meta"
"2006/07/31";4,5;4,32;"Inflación y meta"
"2006/08/31";4,5;4,72;"Inflación y meta"
"2006/09/30";4,5;4,58;"Inflación y meta"
"2006/10/31";4,5;4,19;"Inflación y meta"
"2006/11/30";4,5;4,31;"Inflación y meta"
"2006/12/31";4,5;4,48;"Inflación y meta"
"2007/01/31";4;4,71;"Inflación y meta"
"2007/02/28";4;5,25;"Inflación y meta"
"2007/03/31";4;5,78;"Inflación y meta"
"2007/04/30";4;6,26;"Inflación y meta"
