"Periodo(TX de AAAA)";"Crecimiento PIB real, Trimestral, base: 2015";"Archivo"
"2006/03/31";6,37;"Producto Interno Bruto (PIB)"
"2006/06/30";5,32;"Producto Interno Bruto (PIB)"
"2006/09/30";7,65;"Producto Interno Bruto (PIB)"
"2006/12/31";7,4;"Producto Interno Bruto (PIB)"
"2007/03/31";6,71;"Producto Interno Bruto (PIB)"
"2007/06/30";6,86;"Producto Interno Bruto (PIB)"
"2007/09/30";6,85;"Producto Interno Bruto (PIB)"
"2007/12/31";6,54;"Producto Interno Bruto (PIB)"
"2008/03/31";5,17;"Producto Interno Bruto (PIB)"
"2008/06/30";4,79;"Producto Interno Bruto (PIB)"
"2008/09/30";3,32;"Producto Interno Bruto (PIB)"
"2008/12/31";0,28;"Producto Interno Bruto (PIB)"
"2009/03/31";0,15;"Producto Interno Bruto (PIB)"
"2009/06/30";0,7;"Producto Interno Bruto (PIB)"
"2009/09/30";0,53;"Producto Interno Bruto (PIB)"
"2009/12/31";3,04;"Producto Interno Bruto (PIB)"
"2010/03/31";3,88;"Producto Interno Bruto (PIB)"
"2010/06/30";4,62;"Producto Interno Bruto (PIB)"
"2010/09/30";4,05;"Producto Interno Bruto (PIB)"
"2010/12/31";5,34;"Producto Interno Bruto (PIB)"
"2011/03/31";6,8;"Producto Interno Bruto (PIB)"
"2011/06/30";6,78;"Producto Interno Bruto (PIB)"
"2011/09/30";7,92;"Producto Interno Bruto (PIB)"
"2011/12/31";6,32;"Producto Interno Bruto (PIB)"
"2012/03/31";6,14;"Producto Interno Bruto (PIB)"
"2012/06/30";4,85;"Producto Interno Bruto (PIB)"
"2012/09/30";2,25;"Producto Interno Bruto (PIB)"
"2012/12/31";2,7;"Producto Interno Bruto (PIB)"
"2013/03/31";2,38;"Producto Interno Bruto (PIB)"
"2013/06/30";5,37;"Producto Interno Bruto (PIB)"
"2013/09/30";6,25;"Producto Interno Bruto (PIB)"
"2013/12/31";6,35;"Producto Interno Bruto (PIB)"
"2014/03/31";6,6;"Producto Interno Bruto (PIB)"
"2014/06/30";3,43;"Producto Interno Bruto (PIB)"
"2014/09/30";4,39;"Producto Interno Bruto (PIB)"
"2014/12/31";3,76;"Producto Interno Bruto (PIB)"
"2015/03/31";2,83;"Producto Interno Bruto (PIB)"
"2015/06/30";3,42;"Producto Interno Bruto (PIB)"
"2015/09/30";3,58;"Producto Interno Bruto (PIB)"
"2015/12/31";2,06;"Producto Interno Bruto (PIB)"
"2016/03/31";2,37;"Producto Interno Bruto (PIB)"
"2016/06/30";2,12;"Producto Interno Bruto (PIB)"
"2016/09/30";1,56;"Producto Interno Bruto (PIB)"
"2016/12/31";2,31;"Producto Interno Bruto (PIB)"
"2017/03/31";1,07;"Producto Interno Bruto (PIB)"
"2017/06/30";1,27;"Producto Interno Bruto (PIB)"
"2017/09/30";1,69;"Producto Interno Bruto (PIB)"
"2017/12/31";1,39;"Producto Interno Bruto (PIB)"
"2018/03/31";1,65;"Producto Interno Bruto (PIB)"
"2018/06/30";2,75;"Producto Interno Bruto (PIB)"
"2018/09/30";2,88;"Producto Interno Bruto (PIB)"
"2018/12/31";2,91;"Producto Interno Bruto (PIB)"
"2019/03/31";3,48;"Producto Interno Bruto (PIB)"
"2019/06/30";3,08;"Producto Interno Bruto (PIB)"
"2019/09/30";3,13;"Producto Interno Bruto (PIB)"
"2019/12/31";3,09;"Producto Interno Bruto (PIB)"
"2020/03/31";0,34;"Producto Interno Bruto (PIB)"
"2020/06/30";-16,71;"Producto Interno Bruto (PIB)"
"2020/09/30";-9,08;"Producto Interno Bruto (PIB)"
"2020/12/31";-3,31;"Producto Interno Bruto (PIB)"
"2021/03/31";1,5;"Producto Interno Bruto (PIB)"
"2021/06/30";18,42;"Producto Interno Bruto (PIB)"
"2021/09/30";13,33;"Producto Interno Bruto (PIB)"
"2021/12/31";11,08;"Producto Interno Bruto (PIB)"
"2022/03/31";8,1;"Producto Interno Bruto (PIB)"
"2022/06/30";12,39;"Producto Interno Bruto (PIB)"
"2022/09/30";7,39;"Producto Interno Bruto (PIB)"
"2022/12/31";2,35;"Producto Interno Bruto (PIB)"
"2023/03/31";2,82;"Producto Interno Bruto (PIB)"
"2023/06/30";0,42;"Producto Interno Bruto (PIB)"
"2023/09/30";-0,44;"Producto Interno Bruto (PIB)"
"2023/12/31";0,7;"Producto Interno Bruto (PIB)"
"2024/03/31";0,22;"Producto Interno Bruto (PIB)"
"2024/06/30";1,49;"Producto Interno Bruto (PIB)"
"2024/09/30";1,56;"Producto Interno Bruto (PIB)"
"2024/12/31";2,58;"Producto Interno Bruto (PIB)"
"2025/03/31";2,53;"Producto Interno Bruto (PIB)"
"2025/06/30";1,86;"Producto Interno Bruto (PIB)"
"2025/09/30";3,77;"Producto Interno Bruto (PIB)"
"2025/12/31";2,13;"Producto Interno Bruto (PIB)"
"2026/03/31";2,23;"Producto Interno Bruto (PIB)"
