"Periodo(TX de AAAA)";"Ingresos de Remesas de trabajadores, trimestral";"Archivo"
"2000/03/31";374,94;"Remesas de trabajadores"
"2000/06/30";379,23;"Remesas de trabajadores"
"2000/09/30";388,89;"Remesas de trabajadores"
"2000/12/31";434,98;"Remesas de trabajadores"
"2001/03/31";417,46;"Remesas de trabajadores"
"2001/06/30";530,46;"Remesas de trabajadores"
"2001/09/30";470,82;"Remesas de trabajadores"
"2001/12/31";602,65;"Remesas de trabajadores"
"2002/03/31";499,46;"Remesas de trabajadores"
"2002/06/30";583,93;"Remesas de trabajadores"
"2002/09/30";691,55;"Remesas de trabajadores"
"2002/12/31";678,77;"Remesas de trabajadores"
"2003/03/31";681,51;"Remesas de trabajadores"
"2003/06/30";749,3;"Remesas de trabajadores"
"2003/09/30";798,82;"Remesas de trabajadores"
"2003/12/31";830,46;"Remesas de trabajadores"
"2004/03/31";708,76;"Remesas de trabajadores"
"2004/06/30";756,57;"Remesas de trabajadores"
"2004/09/30";760,09;"Remesas de trabajadores"
"2004/12/31";944,49;"Remesas de trabajadores"
"2005/03/31";731,13;"Remesas de trabajadores"
"2005/06/30";803,26;"Remesas de trabajadores"
"2005/09/30";851,47;"Remesas de trabajadores"
"2005/12/31";927,86;"Remesas de trabajadores"
"2006/03/31";855,89;"Remesas de trabajadores"
"2006/06/30";992,61;"Remesas de trabajadores"
"2006/09/30";972,57;"Remesas de trabajadores"
"2006/12/31";1039,87;"Remesas de trabajadores"
"2007/03/31";944,09;"Remesas de trabajadores"
"2007/06/30";992,58;"Remesas de trabajadores"
"2007/09/30";1181,87;"Remesas de trabajadores"
"2007/12/31";1311,2;"Remesas de trabajadores"
"2008/03/31";1128,1;"Remesas de trabajadores"
"2008/06/30";1174,27;"Remesas de trabajadores"
"2008/09/30";1311,91;"Remesas de trabajadores"
"2008/12/31";1170,63;"Remesas de trabajadores"
"2009/03/31";1079,86;"Remesas de trabajadores"
"2009/06/30";994,78;"Remesas de trabajadores"
"2009/09/30";932,22;"Remesas de trabajadores"
"2009/12/31";1083,42;"Remesas de trabajadores"
"2010/03/31";899,57;"Remesas de trabajadores"
"2010/06/30";966,48;"Remesas de trabajadores"
"2010/09/30";1008,92;"Remesas de trabajadores"
"2010/12/31";1121,37;"Remesas de trabajadores"
"2011/03/31";970,49;"Remesas de trabajadores"
"2011/06/30";984,32;"Remesas de trabajadores"
"2011/09/30";1028,42;"Remesas de trabajadores"
"2011/12/31";1080,87;"Remesas de trabajadores"
"2012/03/31";935,53;"Remesas de trabajadores"
"2012/06/30";1004,61;"Remesas de trabajadores"
"2012/09/30";990,26;"Remesas de trabajadores"
"2012/12/31";1039,26;"Remesas de trabajadores"
"2013/03/31";980,9;"Remesas de trabajadores"
"2013/06/30";1155,79;"Remesas de trabajadores"
"2013/09/30";1120,6;"Remesas de trabajadores"
"2013/12/31";1143,76;"Remesas de trabajadores"
"2014/03/31";1021,5;"Remesas de trabajadores"
"2014/06/30";948,55;"Remesas de trabajadores"
"2014/09/30";1004,74;"Remesas de trabajadores"
"2014/12/31";1118,42;"Remesas de trabajadores"
"2015/03/31";1146,9;"Remesas de trabajadores"
"2015/06/30";1112,54;"Remesas de trabajadores"
"2015/09/30";1412,82;"Remesas de trabajadores"
"2015/12/31";1285,12;"Remesas de trabajadores"
"2016/03/31";1275,59;"Remesas de trabajadores"
"2016/06/30";1237,56;"Remesas de trabajadores"
"2016/09/30";1266,28;"Remesas de trabajadores"
"2016/12/31";1368,03;"Remesas de trabajadores"
"2017/03/31";1308,4;"Remesas de trabajadores"
"2017/06/30";1400,12;"Remesas de trabajadores"
"2017/09/30";1472,01;"Remesas de trabajadores"
"2017/12/31";1603,19;"Remesas de trabajadores"
"2018/03/31";1503,77;"Remesas de trabajadores"
"2018/06/30";1598,93;"Remesas de trabajadores"
"2018/09/30";1710,39;"Remesas de trabajadores"
"2018/12/31";1823,11;"Remesas de trabajadores"
"2019/03/31";1644,7;"Remesas de trabajadores"
"2019/06/30";1774,51;"Remesas de trabajadores"
"2019/09/30";1869,51;"Remesas de trabajadores"
"2019/12/31";1797,81;"Remesas de trabajadores"
"2020/03/31";1792,93;"Remesas de trabajadores"
"2020/06/30";1324,52;"Remesas de trabajadores"
"2020/09/30";1873,52;"Remesas de trabajadores"
"2020/12/31";1917,87;"Remesas de trabajadores"
"2021/03/31";1949,01;"Remesas de trabajadores"
"2021/06/30";2167,34;"Remesas de trabajadores"
"2021/09/30";2168,87;"Remesas de trabajadores"
"2021/12/31";2312,02;"Remesas de trabajadores"
"2022/03/31";2045,66;"Remesas de trabajadores"
"2022/06/30";2417,51;"Remesas de trabajadores"
"2022/09/30";2409,84;"Remesas de trabajadores"
"2022/12/31";2555,81;"Remesas de trabajadores"
"2023/03/31";2475,98;"Remesas de trabajadores"
"2023/06/30";2397,4;"Remesas de trabajadores"
"2023/09/30";2530,84;"Remesas de trabajadores"
"2023/12/31";2686,86;"Remesas de trabajadores"
"2024/03/31";2720,77;"Remesas de trabajadores"
"2024/06/30";2906,77;"Remesas de trabajadores"
"2024/09/30";3052,7;"Remesas de trabajadores"
"2024/12/31";3167,99;"Remesas de trabajadores"
"2025/03/31";3130,62;"Remesas de trabajadores"
"2025/06/30";3277,47;"Remesas de trabajadores"
"2025/09/30";3354;"Remesas de trabajadores"
"2025/12/31";3336,18;"Remesas de trabajadores"
"2026/03/31";3346,96;"Remesas de trabajadores"
