"Periodo(MMM DD, AAAA)";"Unidad de Valor Real (UVR)";"Archivo"
"2000/01/01";103,3396;"UVR_Unidad de valor real"
"2000/01/02";103,3556;"UVR_Unidad de valor real"
"2000/01/03";103,3715;"UVR_Unidad de valor real"
"2000/01/04";103,3875;"UVR_Unidad de valor real"
"2000/01/05";103,4035;"UVR_Unidad de valor real"
"2000/01/06";103,4195;"UVR_Unidad de valor real"
"2000/01/07";103,4354;"UVR_Unidad de valor real"
"2000/01/08";103,4514;"UVR_Unidad de valor real"
"2000/01/09";103,4674;"UVR_Unidad de valor real"
"2000/01/10";103,4834;"UVR_Unidad de valor real"
"2000/01/11";103,4994;"UVR_Unidad de valor real"
"2000/01/12";103,5153;"UVR_Unidad de valor real"
"2000/01/13";103,5313;"UVR_Unidad de valor real"
"2000/01/14";103,5473;"UVR_Unidad de valor real"
"2000/01/15";103,5633;"UVR_Unidad de valor real"
"2000/01/16";103,581;"UVR_Unidad de valor real"
"2000/01/17";103,5986;"UVR_Unidad de valor real"
"2000/01/18";103,6163;"UVR_Unidad de valor real"
"2000/01/19";103,634;"UVR_Unidad de valor real"
"2000/01/20";103,6516;"UVR_Unidad de valor real"
"2000/01/21";103,6693;"UVR_Unidad de valor real"
"2000/01/22";103,687;"UVR_Unidad de valor real"
"2000/01/23";103,7047;"UVR_Unidad de valor real"
"2000/01/24";103,7224;"UVR_Unidad de valor real"
"2000/01/25";103,74;"UVR_Unidad de valor real"
"2000/01/26";103,7577;"UVR_Unidad de valor real"
"2000/01/27";103,7754;"UVR_Unidad de valor real"
"2000/01/28";103,7931;"UVR_Unidad de valor real"
"2000/01/29";103,8108;"UVR_Unidad de valor real"
"2000/01/30";103,8285;"UVR_Unidad de valor real"
"2000/01/31";103,8462;"UVR_Unidad de valor real"
"2000/02/01";103,8639;"UVR_Unidad de valor real"
"2000/02/02";103,8817;"UVR_Unidad de valor real"
"2000/02/03";103,8994;"UVR_Unidad de valor real"
"2000/02/04";103,9171;"UVR_Unidad de valor real"
"2000/02/05";103,9348;"UVR_Unidad de valor real"
"2000/02/06";103,9525;"UVR_Unidad de valor real"
"2000/02/07";103,9703;"UVR_Unidad de valor real"
"2000/02/08";103,988;"UVR_Unidad de valor real"
"2000/02/09";104,0057;"UVR_Unidad de valor real"
"2000/02/10";104,0235;"UVR_Unidad de valor real"
"2000/02/11";104,0412;"UVR_Unidad de valor real"
"2000/02/12";104,0589;"UVR_Unidad de valor real"
"2000/02/13";104,0767;"UVR_Unidad de valor real"
"2000/02/14";104,0944;"UVR_Unidad de valor real"
"2000/02/15";104,1122;"UVR_Unidad de valor real"
"2000/02/16";104,1582;"UVR_Unidad de valor real"
"2000/02/17";104,2043;"UVR_Unidad de valor real"
